county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,312 Dry Creek HD60,Lt Governor ,,DEM,Tim Johnson ,1,1,0,0
Rankin,312 Dry Creek HD60,Lt Governor ,,REP,Tate Reeves ,5,5,0,0
Rankin,312 Dry Creek HD60,Lt Governor ,,LIB,Ron Williams ,0,0,0,0
Rankin,312 Dry Creek HD60,Lt Governor ,,REF,Rosa B. Williams ,0,0,0,0
Rankin,312 Dry Creek HD60,Lt Governor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Lt Governor ,,DEM,Tim Johnson ,69,67,1,1
Rankin,312 Dry Creek HD62,Lt Governor ,,REP,Tate Reeves ,16,16,0,0
Rankin,312 Dry Creek HD62,Lt Governor ,,LIB,Ron Williams ,2,2,0,0
Rankin,312 Dry Creek HD62,Lt Governor ,,REF,Rosa B. Williams ,2,2,0,0
Rankin,312 Dry Creek HD62,Lt Governor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,Lt Governor ,,DEM,Tim Johnson ,182,181,1,0
Rankin,312 Dry Creek HD77,Lt Governor ,,REP,Tate Reeves ,317,308,3,6
Rankin,312 Dry Creek HD77,Lt Governor ,,LIB,Ron Williams ,7,7,0,0
Rankin,312 Dry Creek HD77,Lt Governor ,,REF,Rosa B. Williams ,3,3,0,0
Rankin,312 Dry Creek HD77,Lt Governor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD60,Secretary ,,DEM,Charles E. Graham ,1,1,0,0
Rankin,312 Dry Creek HD60,Secretary ,,REP,Delbert Hosemann ,6,6,0,0
Rankin,312 Dry Creek HD60,Secretary ,,REF,Randy Walker ,0,0,0,0
Rankin,312 Dry Creek HD60,Secretary ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Secretary ,,DEM,Charles E. Graham ,65,63,1,1
Rankin,312 Dry Creek HD62,Secretary ,,REP,Delbert Hosemann ,17,17,0,0
Rankin,312 Dry Creek HD62,Secretary ,,REF,Randy Walker ,1,1,0,0
Rankin,312 Dry Creek HD62,Secretary ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,Secretary ,,DEM,Charles E. Graham ,175,173,2,0
Rankin,312 Dry Creek HD77,Secretary ,,REP,Delbert Hosemann ,322,314,2,6
Rankin,312 Dry Creek HD77,Secretary ,,REF,Randy Walker ,12,12,0,0
Rankin,312 Dry Creek HD77,Secretary ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD60,Attorney ,,DEM,Jim Hood ,2,2,0,0
Rankin,312 Dry Creek HD60,Attorney ,,REP,Mike Hurst ,5,5,0,0
Rankin,312 Dry Creek HD60,Attorney ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Attorney ,,DEM,Jim Hood ,80,77,2,1
Rankin,312 Dry Creek HD62,Attorney ,,REP,Mike Hurst ,8,8,0,0
Rankin,312 Dry Creek HD62,Attorney ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,Attorney ,,DEM,Jim Hood ,269,262,4,3
Rankin,312 Dry Creek HD77,Attorney ,,REP,Mike Hurst ,242,239,0,3
Rankin,312 Dry Creek HD77,Attorney ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD60,Auditor ,,REP,Stacey E. Pickering ,6,6,0,0
Rankin,312 Dry Creek HD60,Auditor ,,DEM,Jocelyn  Pepper Pritchett,1,1,0,0
Rankin,312 Dry Creek HD60,Auditor ,,REF,Lajena Walley ,0,0,0,0
Rankin,312 Dry Creek HD60,Auditor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Auditor ,,REP,Stacey E. Pickering ,16,16,0,0
Rankin,312 Dry Creek HD62,Auditor ,,DEM,Jocelyn  Pepper Pritchett,68,66,1,1
Rankin,312 Dry Creek HD62,Auditor ,,REF,Lajena Walley ,1,1,0,0
Rankin,312 Dry Creek HD62,Auditor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,Auditor ,,REP,Stacey E. Pickering ,326,318,2,6
Rankin,312 Dry Creek HD77,Auditor ,,DEM,Jocelyn  Pepper Pritchett,183,181,2,0
Rankin,312 Dry Creek HD77,Auditor ,,REF,Lajena Walley ,1,1,0,0
Rankin,312 Dry Creek HD77,Auditor ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD60,Treasurer ,,REP,Lynn Fitch ,5,5,0,0
Rankin,312 Dry Creek HD60,Treasurer ,,REF,Viola V. McFarland ,0,0,0,0
Rankin,312 Dry Creek HD60,Treasurer ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Treasurer ,,REP,Lynn Fitch ,36,35,0,1
Rankin,312 Dry Creek HD62,Treasurer ,,REF,Viola V. McFarland ,37,37,0,0
Rankin,312 Dry Creek HD62,Treasurer ,,,Write-in,1,1,0,0
Rankin,312 Dry Creek HD77,Treasurer ,,REP,Lynn Fitch ,367,358,3,6
Rankin,312 Dry Creek HD77,Treasurer ,,REF,Viola V. McFarland ,74,74,0,0
Rankin,312 Dry Creek HD77,Treasurer ,,,Write-in,1,1,0,0
Rankin,312 Dry Creek HD60,Agriculture ,,DEM,Addie Lee Green ,1,1,0,0
Rankin,312 Dry Creek HD60,Agriculture ,,REP,Cindy Hyde-Smith ,5,5,0,0
Rankin,312 Dry Creek HD60,Agriculture ,,REF,Cathy L. Toole ,0,0,0,0
Rankin,312 Dry Creek HD60,Agriculture ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Agriculture ,,DEM,Addie Lee Green ,63,62,1,0
Rankin,312 Dry Creek HD62,Agriculture ,,REP,Cindy Hyde-Smith ,16,15,0,1
Rankin,312 Dry Creek HD62,Agriculture ,,REF,Cathy L. Toole ,5,5,0,0
Rankin,312 Dry Creek HD62,Agriculture ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,Agriculture ,,DEM,Addie Lee Green ,174,172,2,0
Rankin,312 Dry Creek HD77,Agriculture ,,REP,Cindy Hyde-Smith ,324,316,2,6
Rankin,312 Dry Creek HD77,Agriculture ,,REF,Cathy L. Toole ,9,9,0,0
Rankin,312 Dry Creek HD77,Agriculture ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD60,Insurance ,,REP,Mike Chaney ,6,6,0,0
Rankin,312 Dry Creek HD60,Insurance ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,Insurance ,,REP,Mike Chaney ,51,51,0,0
Rankin,312 Dry Creek HD62,Insurance ,,,Write-in,2,2,0,0
Rankin,312 Dry Creek HD77,Insurance ,,REP,Mike Chaney ,396,387,3,6
Rankin,312 Dry Creek HD77,Insurance ,,,Write-in,0,0,0,0
Rankin,312 Dry Creek,State Senate,35,REP,Chris Caughman ,435,426,3,6
Rankin,312 Dry Creek,State Senate,35,,Write-in,3,3,0,0
Rankin,312 Dry Creek HD60,House ,60,REP,John L. Moore ,5,5,0,0
Rankin,312 Dry Creek HD60,House ,60,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD62,House ,62,REP,Tom Weathersby ,21,21,0,0
Rankin,312 Dry Creek HD62,House ,62,DEM,Stephen Wilson ,63,62,1,0
Rankin,312 Dry Creek HD62,House ,62,,Write-in,0,0,0,0
Rankin,312 Dry Creek HD77,House ,77,REP,Andy Gipson ,373,364,3,6
Rankin,312 Dry Creek HD77,House ,77,,Write-in,0,0,0,0
Rankin,318 Puckett,Voters,,,BALLOTS CAST,337,324,9,4
Rankin,318 Puckett,Governor,,REP,Phil Bryant ,288,275,9,4
Rankin,318 Puckett,Governor,,DEM,Robert Gray ,45,45,0,0
Rankin,318 Puckett,Governor,,REF,Shawn O'Hara ,1,1,0,0
Rankin,318 Puckett,Governor,,,Write-in,0,0,0,0
Rankin,318 Puckett,Lieutenant Governor,,DEM,Tim Johnson ,61,61,0,0
Rankin,318 Puckett,Lieutenant Governor,,REP,Tate Reeves ,268,255,9,4
Rankin,318 Puckett,Lieutenant Governor,,LIB,Ron Williams ,6,6,0,0
Rankin,318 Puckett,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,318 Puckett,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,318 Puckett,Secretary of State,,DEM,Charles E. Graham ,48,48,0,0
Rankin,318 Puckett,Secretary of State,,REP,Delbert Hosemann ,285,272,9,4
Rankin,318 Puckett,Secretary of State,,REF,Randy Walker ,4,4,0,0
Rankin,318 Puckett,Secretary of State,,,Write-in,0,0,0,0
Rankin,318 Puckett,Attorney General,,DEM,Jim Hood ,110,104,4,2
Rankin,318 Puckett,Attorney General,,REP,Mike Hurst ,225,218,5,2
Rankin,318 Puckett,Attorney General,,,Write-in,1,1,0,0
Rankin,318 Puckett,State Auditor,,REP,Stacey E. Pickering ,289,276,9,4
Rankin,318 Puckett,State Auditor,,DEM,Jocelyn  Pepper Pritchett,42,42,0,0
Rankin,318 Puckett,State Auditor,,REF,Lajena Walley ,2,2,0,0
Rankin,318 Puckett,State Auditor,,,Write-in,0,0,0,0
Rankin,318 Puckett,State Treasurer,,REP,Lynn Fitch ,298,285,9,4
Rankin,318 Puckett,State Treasurer,,REF,Viola V. McFarland ,20,20,0,0
Rankin,318 Puckett,State Treasurer,,,Write-in,2,2,0,0
Rankin,318 Puckett,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,51,51,0,0
Rankin,318 Puckett,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,280,267,9,4
Rankin,318 Puckett,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,5,5,0,0
Rankin,318 Puckett,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,318 Puckett,Commissioner of Insurance,,REP,Mike Chaney ,303,291,8,4
Rankin,318 Puckett,Commissioner of Insurance,,,Write-in,4,4,0,0
Rankin,318 Puckett,State Senate,35,REP,Chris Caughman ,303,291,8,4
Rankin,318 Puckett,State Senate,35,,Write-in,2,2,0,0
Rankin,318 Puckett,State House,77,REP,Andy Gipson ,301,289,8,4
Rankin,318 Puckett,State House,77,,Write-in,2,2,0,0
Rankin,320 W Brandon,Voters,,,BALLOTS CAST,749,713,17,19
Rankin,320 W Brandon,Governor,,REP,Phil Bryant ,457,435,11,11
Rankin,320 W Brandon,Governor,,DEM,Robert Gray ,270,257,6,7
Rankin,320 W Brandon,Governor,,REF,Shawn O'Hara ,12,12,0,0
Rankin,320 W Brandon,Governor,,,Write-in,3,2,0,1
Rankin,320 W Brandon,Lieutenant Governor,,DEM,Tim Johnson ,276,263,5,8
Rankin,320 W Brandon,Lieutenant Governor,,REP,Tate Reeves ,445,424,10,11
Rankin,320 W Brandon,Lieutenant Governor,,LIB,Ron Williams ,15,14,1,0
Rankin,320 W Brandon,Lieutenant Governor,,REF,Rosa B. Williams ,3,3,0,0
Rankin,320 W Brandon,Lieutenant Governor,,,Write-in,1,1,0,0
Rankin,320 W Brandon,Secretary of State,,DEM,Charles E. Graham ,267,253,6,8
Rankin,320 W Brandon,Secretary of State,,REP,Delbert Hosemann ,454,433,11,10
Rankin,320 W Brandon,Secretary of State,,REF,Randy Walker ,18,17,0,1
Rankin,320 W Brandon,Secretary of State,,,Write-in,2,2,0,0
Rankin,320 W Brandon,Attorney General,,DEM,Jim Hood ,403,379,11,13
Rankin,320 W Brandon,Attorney General,,REP,Mike Hurst ,344,332,6,6
Rankin,320 W Brandon,Attorney General,,,Write-in,0,0,0,0
Rankin,320 W Brandon,State Auditor,,REP,Stacey E. Pickering ,474,451,12,11
Rankin,320 W Brandon,State Auditor,,DEM,Jocelyn  Pepper Pritchett,264,251,5,8
Rankin,320 W Brandon,State Auditor,,REF,Lajena Walley ,7,7,0,0
Rankin,320 W Brandon,State Auditor,,,Write-in,0,0,0,0
Rankin,320 W Brandon,State Treasurer,,REP,Lynn Fitch ,565,540,12,13
Rankin,320 W Brandon,State Treasurer,,REF,Viola V. McFarland ,131,123,3,5
Rankin,320 W Brandon,State Treasurer,,,Write-in,2,2,0,0
Rankin,320 W Brandon,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,254,240,5,9
Rankin,320 W Brandon,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,470,448,12,10
Rankin,320 W Brandon,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,18,18,0,0
Rankin,320 W Brandon,Commissioner of Agriculture & Commerce,,,Write-in,2,2,0,0
Rankin,320 W Brandon,Commissioner of Insurance,,REP,Mike Chaney ,631,603,12,16
Rankin,320 W Brandon,Commissioner of Insurance,,,Write-in,13,11,1,1
Rankin,320 W Brandon,State Senate,30,REP,Dean Kirby ,628,599,14,15
Rankin,320 W Brandon,State Senate,30,,Write-in,10,7,1,2
Rankin,320 W Brandon,State House,60,REP,John L. Moore ,612,584,13,15
Rankin,320 W Brandon,State House,60,,Write-in,9,7,0,2
Rankin,321 S Brandon,Voters,,,BALLOTS CAST,403,390,2,11
Rankin,321 S Brandon,Governor,,REP,Phil Bryant ,352,341,1,10
Rankin,321 S Brandon,Governor,,DEM,Robert Gray ,43,41,1,1
Rankin,321 S Brandon,Governor,,REF,Shawn O'Hara ,6,6,0,0
Rankin,321 S Brandon,Governor,,,Write-in,0,0,0,0
Rankin,321 S Brandon,Lieutenant Governor,,DEM,Tim Johnson ,43,41,1,1
Rankin,321 S Brandon,Lieutenant Governor,,REP,Tate Reeves ,342,331,1,10
Rankin,321 S Brandon,Lieutenant Governor,,LIB,Ron Williams ,6,6,0,0
Rankin,321 S Brandon,Lieutenant Governor,,REF,Rosa B. Williams ,6,6,0,0
Rankin,321 S Brandon,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,321 S Brandon,Secretary of State,,DEM,Charles E. Graham ,28,26,1,1
Rankin,321 S Brandon,Secretary of State,,REP,Delbert Hosemann ,365,354,1,10
Rankin,321 S Brandon,Secretary of State,,REF,Randy Walker ,9,9,0,0
Rankin,321 S Brandon,Secretary of State,,,Write-in,0,0,0,0
Rankin,321 S Brandon,Attorney General,,DEM,Jim Hood ,123,121,1,1
Rankin,321 S Brandon,Attorney General,,REP,Mike Hurst ,279,268,1,10
Rankin,321 S Brandon,Attorney General,,,Write-in,1,1,0,0
Rankin,321 S Brandon,State Auditor,,REP,Stacey E. Pickering ,353,342,1,10
Rankin,321 S Brandon,State Auditor,,DEM,Jocelyn  Pepper Pritchett,39,37,1,1
Rankin,321 S Brandon,State Auditor,,REF,Lajena Walley ,9,9,0,0
Rankin,321 S Brandon,State Auditor,,,Write-in,0,0,0,0
Rankin,321 S Brandon,State Treasurer,,REP,Lynn Fitch ,363,352,1,10
Rankin,321 S Brandon,State Treasurer,,REF,Viola V. McFarland ,32,31,0,1
Rankin,321 S Brandon,State Treasurer,,,Write-in,0,0,0,0
Rankin,321 S Brandon,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,32,30,1,1
Rankin,321 S Brandon,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,359,349,1,9
Rankin,321 S Brandon,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,9,8,0,1
Rankin,321 S Brandon,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,321 S Brandon,Commissioner of Insurance,,REP,Mike Chaney ,377,365,1,11
Rankin,321 S Brandon,Commissioner of Insurance,,,Write-in,3,3,0,0
Rankin,321 S Brandon,State Senate,30,REP,Dean Kirby ,371,360,1,10
Rankin,321 S Brandon,State Senate,30,,Write-in,4,3,0,1
Rankin,321 S Brandon,State House,60,REP,John L. Moore ,362,351,1,10
Rankin,321 S Brandon,State House,60,,Write-in,9,8,0,1
Rankin,323 Greenfield,Voters,,,BALLOTS CAST,891,855,18,18
Rankin,323 Greenfield,Governor,,REP,Phil Bryant ,610,584,13,13
Rankin,323 Greenfield,Governor,,DEM,Robert Gray ,255,246,5,4
Rankin,323 Greenfield,Governor,,REF,Shawn O'Hara ,15,15,0,0
Rankin,323 Greenfield,Governor,,,Write-in,1,1,0,0
Rankin,323 Greenfield,Lieutenant Governor,,DEM,Tim Johnson ,272,263,5,4
Rankin,323 Greenfield,Lieutenant Governor,,REP,Tate Reeves ,574,549,13,12
Rankin,323 Greenfield,Lieutenant Governor,,LIB,Ron Williams ,27,26,0,1
Rankin,323 Greenfield,Lieutenant Governor,,REF,Rosa B. Williams ,7,7,0,0
Rankin,323 Greenfield,Lieutenant Governor,,,Write-in,2,2,0,0
Rankin,323 Greenfield,Secretary of State,,DEM,Charles E. Graham ,257,248,4,5
Rankin,323 Greenfield,Secretary of State,,REP,Delbert Hosemann ,608,582,14,12
Rankin,323 Greenfield,Secretary of State,,REF,Randy Walker ,19,18,0,1
Rankin,323 Greenfield,Secretary of State,,,Write-in,0,0,0,0
Rankin,323 Greenfield,Attorney General,,DEM,Jim Hood ,412,395,9,8
Rankin,323 Greenfield,Attorney General,,REP,Mike Hurst ,475,456,9,10
Rankin,323 Greenfield,Attorney General,,,Write-in,0,0,0,0
Rankin,323 Greenfield,State Auditor,,REP,Stacey E. Pickering ,604,580,13,11
Rankin,323 Greenfield,State Auditor,,DEM,Jocelyn  Pepper Pritchett,261,250,5,6
Rankin,323 Greenfield,State Auditor,,REF,Lajena Walley ,15,15,0,0
Rankin,323 Greenfield,State Auditor,,,Write-in,0,0,0,0
Rankin,323 Greenfield,State Treasurer,,REP,Lynn Fitch ,683,654,14,15
Rankin,323 Greenfield,State Treasurer,,REF,Viola V. McFarland ,140,135,4,1
Rankin,323 Greenfield,State Treasurer,,,Write-in,3,3,0,0
Rankin,323 Greenfield,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,254,246,4,4
Rankin,323 Greenfield,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,609,582,14,13
Rankin,323 Greenfield,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,20,20,0,0
Rankin,323 Greenfield,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,323 Greenfield,Commissioner of Insurance,,REP,Mike Chaney ,761,730,16,15
Rankin,323 Greenfield,Commissioner of Insurance,,,Write-in,13,12,1,0
Rankin,323 Greenfield,State Senate,30,REP,Dean Kirby ,599,578,10,11
Rankin,323 Greenfield,State Senate,30,,Write-in,9,8,1,0
Rankin,323 Greenfield,State Senate,35,REP,Chris Caughman ,144,136,6,2
Rankin,323 Greenfield,State Senate,35,,Write-in,0,0,0,0
Rankin,323 Greenfield,State House,60,REP,John L. Moore ,730,700,16,14
Rankin,323 Greenfield,State House,60,,Write-in,15,14,1,0
Rankin,324 Brandon Central,Voters,,,BALLOTS CAST,755,702,44,9
Rankin,324 Brandon Central,Governor,,REP,Phil Bryant ,647,603,37,7
Rankin,324 Brandon Central,Governor,,DEM,Robert Gray ,90,83,5,2
Rankin,324 Brandon Central,Governor,,REF,Shawn O'Hara ,7,7,0,0
Rankin,324 Brandon Central,Governor,,,Write-in,0,0,0,0
Rankin,324 Brandon Central,Lieutenant Governor,,DEM,Tim Johnson ,101,94,5,2
Rankin,324 Brandon Central,Lieutenant Governor,,REP,Tate Reeves ,626,582,37,7
Rankin,324 Brandon Central,Lieutenant Governor,,LIB,Ron Williams ,13,13,0,0
Rankin,324 Brandon Central,Lieutenant Governor,,REF,Rosa B. Williams ,5,5,0,0
Rankin,324 Brandon Central,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,324 Brandon Central,Secretary of State,,DEM,Charles E. Graham ,86,80,4,2
Rankin,324 Brandon Central,Secretary of State,,REP,Delbert Hosemann ,645,600,38,7
Rankin,324 Brandon Central,Secretary of State,,REF,Randy Walker ,11,11,0,0
Rankin,324 Brandon Central,Secretary of State,,,Write-in,1,1,0,0
Rankin,324 Brandon Central,Attorney General,,DEM,Jim Hood ,251,230,19,2
Rankin,324 Brandon Central,Attorney General,,REP,Mike Hurst ,491,461,23,7
Rankin,324 Brandon Central,Attorney General,,,Write-in,2,2,0,0
Rankin,324 Brandon Central,State Auditor,,REP,Stacey E. Pickering ,633,588,39,6
Rankin,324 Brandon Central,State Auditor,,DEM ,Jocelyn  Pepper Pritchett,98,92,3,3
Rankin,324 Brandon Central,State Auditor,,REF,Lajena Walley ,4,4,0,0
Rankin,324 Brandon Central,State Auditor,,,Write-in,1,1,0,0
Rankin,324 Brandon Central,State Treasurer,,REP,Lynn Fitch ,682,636,39,7
Rankin,324 Brandon Central,State Treasurer,,REF,Viola V. McFarland ,47,45,2,0
Rankin,324 Brandon Central,State Treasurer,,,Write-in,1,1,0,0
Rankin,324 Brandon Central,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,74,70,3,1
Rankin,324 Brandon Central,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,662,616,39,7
Rankin,324 Brandon Central,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,3,3,0,0
Rankin,324 Brandon Central,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,324 Brandon Central,Commissioner of Insurance,,REP,Mike Chaney ,693,645,41,7
Rankin,324 Brandon Central,Commissioner of Insurance,,,Write-in,5,5,0,0
Rankin,324 Brandon Central,State Senate,30,REP,Dean Kirby ,678,634,37,7
Rankin,324 Brandon Central,State Senate,30,,Write-in,6,6,0,0
Rankin,324 Brandon Central,State House,60,REP,John L. Moore ,666,620,39,7
Rankin,324 Brandon Central,State House,60,,Write-in,8,7,1,0
Rankin,325 Highlands,Voters,,,BALLOTS CAST,667,612,44,11
Rankin,325 Highlands HD60,Governor HD60,,REP,Phil Bryant ,207,183,23,1
Rankin,325 Highlands HD60,Governor HD60,,DEM,Robert Gray ,42,32,9,1
Rankin,325 Highlands HD60,Governor HD60,,REF,Shawn O'Hara ,6,5,1,0
Rankin,325 Highlands HD60,Governor HD60,,,Write-in,2,2,0,0
Rankin,325 Highlands HD61,Governor HD61,,REP,Phil Bryant ,257,246,5,6
Rankin,325 Highlands HD61,Governor HD61,,DEM,Robert Gray ,140,131,6,3
Rankin,325 Highlands HD61,Governor HD61,,REF,Shawn O'Hara ,6,6,0,0
Rankin,325 Highlands HD61,Governor HD61,,,Write-in,3,3,0,0
Rankin,325 Highlands HD60,Lt Governor HD60,,DEM,Tim Johnson ,57,48,8,1
Rankin,325 Highlands HD60,Lt Governor HD60,,REP,Tate Reeves ,186,165,20,1
Rankin,325 Highlands HD60,Lt Governor HD60,,LIB,Ron Williams ,9,6,3,0
Rankin,325 Highlands HD60,Lt Governor HD60,,REF,Rosa B. Williams ,4,2,2,0
Rankin,325 Highlands HD60,Lt Governor HD60,,,Write-in,0,0,0,0
Rankin,325 Highlands HD61,Lt Governor HD61,,DEM,Tim Johnson ,154,142,8,4
Rankin,325 Highlands HD61,Lt Governor HD61,,REP,Tate Reeves ,240,232,3,5
Rankin,325 Highlands HD61,Lt Governor HD61,,LIB,Ron Williams ,10,10,0,0
Rankin,325 Highlands HD61,Lt Governor HD61,,REF,Rosa B. Williams ,1,1,0,0
Rankin,325 Highlands HD61,Lt Governor HD61,,,Write-in,0,0,0,0
Rankin,325 Highlands HD60,Secretary HD60,,DEM,Charles E. Graham ,47,38,8,1
Rankin,325 Highlands HD60,Secretary HD60,,REP,Delbert Hosemann ,194,175,18,1
Rankin,325 Highlands HD60,Secretary HD60,,REF,Randy Walker ,15,8,7,0
Rankin,325 Highlands HD60,Secretary HD60,,,Write-in,0,0,0,0
Rankin,325 Highlands HD61,Secretary HD61,,DEM,Charles E. Graham ,148,138,6,4
Rankin,325 Highlands HD61,Secretary HD61,,REP,Delbert Hosemann ,250,240,5,5
Rankin,325 Highlands HD61,Secretary HD61,,REF,Randy Walker ,10,10,0,0
Rankin,325 Highlands HD61,Secretary HD61,,,Write-in,0,0,0,0
Rankin,325 Highlands HD60,Attorney HD60,,DEM,Jim Hood ,111,92,18,1
Rankin,325 Highlands HD60,Attorney HD60,,REP,Mike Hurst ,143,127,15,1
Rankin,325 Highlands HD60,Attorney HD60,,,Write-in,0,0,0,0
Rankin,325 Highlands HD61,Attorney HD61,,DEM,Jim Hood ,203,188,8,7
Rankin,325 Highlands HD61,Attorney HD61,,REP,Mike Hurst ,201,196,3,2
Rankin,325 Highlands HD61,Attorney HD61,,,Write-in,0,0,0,0
Rankin,325 Highlands HD60,Auditor HD60,,REP,Stacey E. Pickering ,195,176,18,1
Rankin,325 Highlands HD60,Auditor HD60,,DEM,Jocelyn  Pepper Pritchett,51,39,11,1
Rankin,325 Highlands HD60,Auditor HD60,,REF,Lajena Walley ,7,4,3,0
Rankin,325 Highlands HD60,Auditor HD60,,,Write-in,0,0,0,0
Rankin,325 Highlands HD61,Auditor HD61,,REP,Stacey E. Pickering ,262,250,6,6
Rankin,325 Highlands HD61,Auditor HD61,,DEM,Jocelyn  Pepper Pritchett,138,130,5,3
Rankin,325 Highlands HD61,Auditor HD61,,REF,Lajena Walley ,4,4,0,0
Rankin,325 Highlands HD61,Auditor HD61,,,Write-in,1,1,0,0
Rankin,325 Highlands HD60,Treasurer HD60,,REP,Lynn Fitch ,210,182,28,0
Rankin,325 Highlands HD60,Treasurer HD60,,REF,Viola V. McFarland ,39,35,3,1
Rankin,325 Highlands HD60,Treasurer HD60,,,Write-in,0,0,0,0
Rankin,325 Highlands HD61,Treasurer HD61,,REP,Lynn Fitch ,296,282,8,6
Rankin,325 Highlands HD61,Treasurer HD61,,REF,Viola V. McFarland ,69,65,3,1
Rankin,325 Highlands HD61,Treasurer HD61,,,Write-in,1,1,0,0
Rankin,325 Highlands HD60,Agriculture HD60,,DEM,Addie Lee Green ,46,39,7,0
Rankin,325 Highlands HD60,Agriculture HD60,,REP,Cindy Hyde-Smith ,201,177,22,2
Rankin,325 Highlands HD60,Agriculture HD60,,REF,Cathy L. Toole ,8,4,4,0
Rankin,325 Highlands HD60,Agriculture HD60,,,Write-in,0,0,0,0
Rankin,325 Highlands HD61,Agriculture HD61,,DEM,Addie Lee Green ,144,135,5,4
Rankin,325 Highlands HD61,Agriculture HD61,,REP,Cindy Hyde-Smith ,257,246,6,5
Rankin,325 Highlands HD61,Agriculture HD61,,REF,Cathy L. Toole ,4,4,0,0
Rankin,325 Highlands HD61,Agriculture HD61,,,Write-in,2,2,0,0
Rankin,325 Highlands HD60,Insurance HD60,,REP,Mike Chaney ,226,195,29,2
Rankin,325 Highlands HD60,Insurance HD60,,,Write-in,3,2,1,0
Rankin,325 Highlands HD61,Insurance HD61,,REP,Mike Chaney ,336,319,10,7
Rankin,325 Highlands HD61,Insurance HD61,,,Write-in,6,6,0,0
Rankin,325 Highlands,State Senate,30,REP,Dean Kirby ,551,504,40,7
Rankin,325 Highlands,State Senate,30,,Write-in,9,7,1,1
Rankin,325 Highlands HD60,House HD60,60,REP,John L. Moore ,220,189,29,2
Rankin,325 Highlands HD60,House HD60,60,,Write-in,3,2,1,0
Rankin,325 Highlands HD61,State House,61,REP,Ray Rogers ,328,313,9,6
Rankin,325 Highlands HD61,State House,61,,Write-in,7,6,0,1
Rankin,407 Pisgah,Voters,,,BALLOTS CAST,256,248,6,2
Rankin,407 Pisgah,Governor,,REP,Phil Bryant ,174,169,4,1
Rankin,407 Pisgah,Governor,,DEM,Robert Gray ,78,75,2,1
Rankin,407 Pisgah,Governor,,REF,Shawn O'Hara ,2,2,0,0
Rankin,407 Pisgah,Governor,,,Write-in,0,0,0,0
Rankin,407 Pisgah,Lieutenant Governor,,DEM,Tim Johnson ,82,80,2,0
Rankin,407 Pisgah,Lieutenant Governor,,REP,Tate Reeves ,163,157,4,2
Rankin,407 Pisgah,Lieutenant Governor,,LIB,Ron Williams ,7,7,0,0
Rankin,407 Pisgah,Lieutenant Governor,,REF,Rosa B. Williams ,2,2,0,0
Rankin,407 Pisgah,Lieutenant Governor,,,Write-in,0,0,0,0
